OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
5016,2002-03-31,26.23,-77.91,10796,0
5017,2002-04-30,26.24,-165.56,2659,0
5018,1993-02-09,26.25,-78.57,0,0
5019,1994-01-24,26.25,-79.48,0,0
5020,1996-03-28,26.25,-78.95,7559,0
5021,1999-03-30,26.25,-79.11,0,0
5022,1999-04-02,26.26,-75.62,51596,0
5023,1999-04-15,26.26,-60.79,50216,0
5024,2005-02-19,26.26,-69.11,0,0
5025,1987-04-07,26.27,-78.23,3857,0
5026,1993-01-06,26.27,-78.67,0,0
5027,1994-02-09,26.27,-78.57,9189,0
5028,1994-02-09,26.27,-78.57,1622,0
5029,1994-03-25,26.27,-79.03,1080,0
5030,1994-03-25,26.27,-79.03,0,0
5031,1990-04-05,26.28,-78.62,5400,0
5032,1991-04-26,26.28,-74.82,4320,0
5033,1991-04-26,26.28,-74.82,6595,0
5034,2001-02-13,26.28,-79.76,4320,0
5035,2001-04-16,26.29,-59.99,72354,0
5036,2001-05-18,26.29,-65.15,18898,0
5037,2001-05-18,26.29,-65.15,21058,0
5038,2002-10-29,26.29,-57.33,10799,0
5039,1991-05-08,26.3,-70.47,5400,0
5040,1992-02-16,26.3,-75.28,7559,0
5041,1992-02-16,26.3,-75.28,3240,0
5042,1993-05-06,26.3,-78.37,540,0
5043,1993-05-06,26.3,-78.37,1543,0
5044,1996-03-28,26.3,-78.15,1080,0
5045,2000-04-22,26.3,-59.9,41577,0
5046,1999-05-16,26.31,-65.09,675,0
5047,1999-05-16,26.31,-65.09,11339,0
5048,1992-02-17,26.32,-74.83,5940,0
5049,1994-02-12,26.32,-74.38,4320,0
5050,1994-02-12,26.32,-74.38,0,0
5051,1992-04-02,26.33,-79.73,1028,0
5052,1995-01-28,26.33,-78.55,1080,0
5053,2006-03-27,26.34,-79.09,1800,0
5054,1991-04-23,26.35,-68.22,6944,0
5055,1996-03-28,26.35,-78.43,11879,0
5056,2004-02-21,26.36,-75.51,0,0
5057,1995-05-15,26.37,-72.35,3780,0
5058,1995-05-15,26.37,-72.35,14579,0
5059,1998-02-10,26.37,-79.28,0,0
5060,2003-02-13,26.37,-79.03,1620,0
5061,1996-10-29,26.38,-60.11,118790,0
5062,1996-10-29,26.38,-60.11,48056,0
5063,2002-03-30,26.38,-79.3,0,0
5064,2003-03-29,26.38,-79.04,1080,0
5065,1992-05-02,26.39,-72.55,1080,0
5066,1992-05-02,26.39,-72.55,2700,0
5067,1993-05-11,26.4,-75.76,35097,0
5068,1993-05-04,26.41,-78.76,1028,0
5069,1999-11-01,26.41,-58.01,22798,0
5070,2000-05-30,26.41,-73.12,57235,0
5071,2000-05-30,26.41,-73.12,43197,0
5072,2008-03-30,26.41,-79.38,0,0
5073,1987-02-06,26.42,-78.62,1080,0
5074,1991-04-18,26.42,-78.7,3240,0
5075,1991-04-18,26.42,-78.7,0,0
5076,1993-05-05,26.42,-77.91,0,0
5077,1999-10-30,26.42,-57.99,10799,0
5078,1999-10-30,26.42,-57.99,4628,0
5079,2002-03-31,26.42,-79.03,0,0
5080,2003-02-14,26.42,-78.17,0,0
5081,1995-05-19,26.43,-72.88,5400,0
5082,1999-10-31,26.43,-58.01,7199,0
5083,2005-03-28,26.43,-79.41,0,0
5084,1992-04-22,26.44,-79.02,2700,0
5085,1992-04-22,26.44,-79.02,9179,0
5086,1999-10-31,26.44,-58.02,22869,0
5087,1990-04-29,26.45,-68.92,3240,0
5088,1990-04-29,26.45,-68.92,3780,0
5089,1993-05-05,26.45,-78.7,3240,0
5090,1996-02-09,26.45,-78.68,4320,0
5091,1998-02-09,26.45,-79.3,0,0
5092,1998-02-10,26.45,-78.85,0,0
5093,1999-10-31,26.45,-58.02,4050,0
5094,1987-04-06,26.46,-79.46,309,0
5095,1993-05-04,26.47,-79.28,0,0
5096,1999-10-31,26.47,-58.03,16199,0
5097,1999-10-31,26.48,-58.03,6942,0
5098,2005-03-28,26.48,-79.63,0,0
5099,2001-02-17,26.49,-73.53,4860,0
5100,1993-05-16,26.5,-72.53,28817,0
5101,1993-05-16,26.5,-72.53,19310,0
5102,1997-05-24,26.5,-73.13,10799,0
5103,1999-10-31,26.5,-58.03,2160,0
5104,2005-10-26,26.51,-55.72,36337,0
5105,2006-03-27,26.51,-79.64,771,0
5106,1994-10-26,26.53,-60.7,3780,0
5107,1998-02-09,26.53,-79.35,0,0
5108,2004-02-13,26.53,-79.6,1080,0
5109,1998-03-31,26.55,-76.32,540,0
5110,1997-04-16,26.56,-68.43,4860,0
5111,1997-04-16,26.56,-68.43,5940,0
5112,2001-04-19,26.57,-71.36,1543,0
5113,2002-10-29,26.57,-57.47,15119,0
5114,1990-04-25,26.58,-75.04,4500,0
5115,2003-07-06,26.59,-156.82,2174,0
